"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"grbgbnut  ","P",05/11/2020 9:55,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH0} {SE} {WS1}",0.069,<0> (CSM) ,0.029,<1> (CHB) ,"","","","",0.087,<1> (CHB) ,9.3,<0>  ,
"grbgbnut  ","P",06/09/2020 9:35,0,1,1         ,1         ,"{CPB} {PNP} {TSE} {WH0} {SW} {WS1}",0.01,<1> (CHB) ,0.02,<0>  ,"","","","",0.033,<1> (CHB) ,3.2,<0>  ,
"grbgbnut  ","P",07/07/2020 8:56,0,1,1         ,1         ,"{CSP} {PNP} {TSL} {WH0} {SE} {WS1}",0.02,<1> (CHB) ,0.0050,<1> [SBL] (CHB) ,"","","","",0.023,<1> (CHB) ,3.4,<0>  ,
"grbgbnut  ","P",08/24/2020 10:11,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH0} {W} {WS1}",0.04,<1> (CHB) ,0.0050,<-4> [SBL] ,"","","","",0.013,<1> (CHB) ,4.3,<0>  ,
"grbgbnut  ","P",08/24/2020 10:12,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {WH0} {W} {WS1}",0.045,<1> (CHB) ,0.0050,<-4> [SBL] ,"","","","",0.0050,<1> [SBL] (CHB) ,4.4,<0>  ,
"grbgbnut  ","P",08/24/2020 10:13,0,1,1         ,3         ,"{CSP} {PNP} {TSE} {WH0} {W} {WS1}",0.039,<1> (CHB) ,0.0050,<-4> [SBL] ,"","","","",0.0080,<1> (CHB) ,4.0,<0>  ,
"grbgbnut  ","P",09/21/2020 9:05,0,1,1         ,1         ,"{CCL} {PNP} {TSE} {WH1} {N} {WS1}",0.039,<0>  ,0.014,<0>  ,"","","","",0.031,<1> (CHB) ,2.5,<0>  ,
"grbgbnut  ","P",10/19/2020 8:25,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH0} {WS0}",0.028,<0>  ,0.033,<0>  ,"","","","",0.04,<0>  ,2.5,<0>  ,
"grbgbnut  ","P",11/02/2020 7:52,0,1,1         ,1         ,"{CCL} {PNP} {TSE} {WH1} {W} {WS2}",0.022,<0>  ,0.17,<0>  ,"","","","",0.035,<0>  ,1.9,<0>  ,
"grbgbnut  ","P",11/02/2020 7:53,0,1,1         ,2         ,"{CCL} {PNP} {TSE} {WH1} {W} {WS2}",0.027,<0>  ,0.159,<1> [SCC] ,"","","","",0.036,<1> [SCC] ,1.7,<0>  ,
"grbgbnut  ","P",11/02/2020 7:54,0,1,1         ,3         ,"{CCL} {PNP} {TSE} {WH1} {W} {WS2}",0.021,<0>  ,0.126,<0>  ,"","","","",0.045,<0>  ,1.8,<0>  ,
"grbgbnut  ","P",12/07/2020 11:53,0,1,1         ,1         ,"{CPB} {PNP} {TSE} {WH0} {W} {WS1}",0.027,<0>  ,0.028,<0>  ,"","","","",0.148,<0>  ,5.1,<0>  ,

