"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"grblrnut  ","P",04/10/2018 12:58,1,1,1         ,1         ,"{COC} {PNP} {WH0} {NE} {WS0} {TSE}",0.0035,<-4> [SBL] ,0.0090,<0>  ,"","","","",0.094,<0>  ,0.7,<1> [GSM] (CHB) ,
"grblrnut  ","P",04/11/2018 16:12,1,1,2         ,1         ,"",0.0035,<-4> [SBL] ,0.018,<0>  ,"","","","",0.099,<0>  ,0.61,<1> [GSM] (CHB) ,
"grblrnut  ","P",04/11/2018 16:14,1,1,2         ,2         ,"",0.0035,<-4> [SBL] ,0.018,<0>  ,"","","","",0.105,<0>  ,0.52,<1> [GSM] (CHB) ,
"grblrnut  ","P",04/11/2018 16:16,1,1,2         ,3         ,"",0.0035,<-4> [SBL] ,0.017,<0>  ,"","","","",0.1,<0>  ,0.61,<1> [GSM] (CHB) ,
"grblrnut  ","P",04/11/2018 18:16,1,1,2         ,1         ,"",0.0035,<-4> [SBL] ,0.016,<0>  ,"","","","",0.104,<0>  ,0.49,<1> [GSM] (CHB) ,
"grblrnut  ","P",04/11/2018 20:16,1,1,2         ,1         ,"",0.0035,<-4> [SBL] ,0.012,<0>  ,"","","","",0.099,<0>  ,0.8,<1> [GSM] (CHB) ,
"grblrnut  ","P",04/11/2018 22:20,1,1,2         ,1         ,"",0.01,<0>  ,0.024,<0>  ,"","","","",0.092,<0>  ,1.68,<1> [GSM] (CHB) ,
"grblrnut  ","P",04/12/2018 0:24,1,1,2         ,1         ,"",0.0035,<-4> [SBL] ,0.012,<0>  ,"","","","",0.101,<0>  ,0.94,<1> [GSM] (CHB) ,
"grblrnut  ","P",04/12/2018 2:28,1,1,2         ,1         ,"",0.0035,<-4> [SBL] ,0.019,<0>  ,"","","","",0.105,<0>  ,0.7,<1> [GSM] (CHB) ,
"grblrnut  ","P",04/12/2018 4:32,1,1,2         ,1         ,"",0.0035,<-4> [SBL] ,0.021,<0>  ,"","","","",0.106,<0>  ,0.81,<1> [GSM] (CHB) ,
"grblrnut  ","P",04/12/2018 6:36,1,1,2         ,1         ,"",0.0035,<-4> [SBL] ,0.022,<0>  ,"","","","",0.1,<0>  ,0.67,<1> [GSM] (CHB) ,
"grblrnut  ","P",04/12/2018 8:40,1,1,2         ,1         ,"",0.0035,<-4> [SBL] ,0.022,<0>  ,"","","","",0.098,<0>  ,0.64,<1> [GSM] (CHB) ,
"grblrnut  ","P",04/12/2018 10:44,1,1,2         ,1         ,"",0.0035,<-4> [SBL] ,0.018,<0>  ,"","","","",0.103,<0>  ,0.6,<1> [GSM] (CHB) ,
"grblrnut  ","P",04/12/2018 12:48,1,1,2         ,1         ,"",0.0035,<-4> [SBL] ,0.017,<0>  ,"","","","",0.114,<0>  ,0.74,<1> [GSM] (CHB) ,
"grblrnut  ","P",04/12/2018 14:52,1,1,2         ,1         ,"",0.0035,<-4> [SBL] ,0.016,<0>  ,"","","","",0.133,<0>  ,0.77,<1> [GSM] (CHB) ,
"grblrnut  ","P",04/12/2018 16:56,1,1,2         ,1         ,"",0.0035,<-4> [SBL] ,0.016,<0>  ,"","","","",0.103,<0>  ,0.64,<1> [GSM] (CHB) ,
"grblrnut  ","P",05/21/2018 13:45,1,1,1         ,1         ,"{CCL} {PNP} {TSE} {WH1} {SE} {WS1}",0.0060,<0>  ,0.037,<0>  ,"","","","",0.2,<0>  ,2.24,<1> [GSM] (CHB) ,
"grblrnut  ","P",05/21/2018 13:46,1,1,1         ,2         ,"{CCL} {PNP} {TSE} {WH1} {SE} {WS1}",0.0080,<0>  ,0.032,<0>  ,"","","","",0.189,<0>  ,1.26,<1> [GSM] (CHB) ,
"grblrnut  ","P",05/21/2018 13:47,1,1,1         ,3         ,"{CCL} {PNP} {TSE} {WH1} {SE} {WS1}",0.0060,<0>  ,0.031,<0>  ,"","","","",0.188,<0>  ,1.61,<1> [GSM] (CHB) ,
"grblrnut  ","P",05/23/2018 14:51,1,1,2         ,1         ,"",0.015,<0>  ,0.087,<0>  ,"","","","",0.167,<0>  ,1.69,<1> [GSM] (CHB) ,
"grblrnut  ","P",05/23/2018 14:53,1,1,2         ,2         ,"",0.015,<0>  ,0.078,<0>  ,"","","","",0.184,<0>  ,1.66,<1> [GSM] (CHB) ,
"grblrnut  ","P",05/23/2018 14:55,1,1,2         ,3         ,"",0.017,<0>  ,0.079,<0>  ,"","","","",0.181,<0>  ,1.5,<1> [GSM] (CHB) ,
"grblrnut  ","P",05/23/2018 16:55,1,1,2         ,1         ,"",0.023,<0>  ,0.104,<0>  ,"","","","",0.156,<0>  ,6.53,<1> [GSM] (CHB) ,
"grblrnut  ","P",05/23/2018 18:55,1,1,2         ,1         ,"",0.029,<0>  ,0.105,<0>  ,"","","","",0.119,<0>  ,4.0,<1> [GSM] (CHB) ,
"grblrnut  ","P",05/23/2018 20:59,1,1,2         ,1         ,"",0.04,<0>  ,0.116,<0>  ,"","","","",0.101,<0>  ,4.02,<1> [GSM] (CHB) ,
"grblrnut  ","P",05/23/2018 23:03,1,1,2         ,1         ,"",0.031,<0>  ,0.128,<0>  ,"","","","",0.11,<0>  ,1.2,<1> [GSM] (CHB) ,
"grblrnut  ","P",05/24/2018 1:07,1,1,2         ,1         ,"",0.033,<0>  ,0.124,<0>  ,"","","","",0.111,<0>  ,7.22,<1> [GSM] (CHB) ,
"grblrnut  ","P",05/24/2018 3:11,1,1,2         ,1         ,"",0.067,<0>  ,0.088,<0>  ,"","","","",0.175,<0>  ,1.24,<1> [GSM] (CHB) ,
"grblrnut  ","P",05/24/2018 5:15,1,1,2         ,1         ,"",0.025,<0>  ,0.116,<0>  ,"","","","",0.144,<0>  ,3.09,<1> [GSM] (CHB) ,
"grblrnut  ","P",05/24/2018 7:19,1,1,2         ,1         ,"",0.031,<0>  ,0.107,<0>  ,"","","","",0.132,<0>  ,3.06,<1> [GSM] (CHB) ,
"grblrnut  ","P",05/24/2018 9:23,1,1,2         ,1         ,"",0.045,<0>  ,0.115,<0>  ,"","","","",0.11,<0>  ,2.53,<1> [GSM] (CHB) ,
"grblrnut  ","P",05/24/2018 11:27,1,1,2         ,1         ,"",0.049,<0>  ,0.115,<0>  ,"","","","",0.099,<0>  ,2.35,<1> [GSM] (CHB) ,
"grblrnut  ","P",05/24/2018 13:31,1,1,2         ,1         ,"",0.043,<0>  ,0.116,<0>  ,"","","","",0.107,<0>  ,1.57,<1> [GSM] (CHB) ,
"grblrnut  ","P",05/24/2018 15:35,1,1,2         ,1         ,"",0.014,<0>  ,0.071,<0>  ,"","","","",0.176,<0>  ,1.13,<1> [GSM] (CHB) ,
"grblrnut  ","P",06/17/2018 10:32,1,1,2         ,1         ,"",0.044,<0>  ,0.152,<0>  ,"","","","",0.097,<0>  ,7.1,<1> [GSM] (CHB) ,
"grblrnut  ","P",06/17/2018 10:34,1,1,2         ,2         ,"",0.045,<0>  ,0.161,<0>  ,"","","","",0.098,<0>  ,5.06,<1> [GSM] (CHB) ,
"grblrnut  ","P",06/17/2018 10:36,1,1,2         ,3         ,"",0.045,<0>  ,0.154,<0>  ,"","","","",0.087,<0>  ,4.4,<1> [GSM] (CHB) ,
"grblrnut  ","P",06/17/2018 12:36,1,1,2         ,1         ,"",0.046,<0>  ,0.126,<0>  ,"","","","",0.09,<0>  ,4.35,<1> [GSM] (CHB) ,
"grblrnut  ","P",06/17/2018 14:36,1,1,2         ,1         ,"",0.05,<0>  ,0.137,<0>  ,"","","","",0.086,<0>  ,11.78,<1> [GSM] (CHB) ,
"grblrnut  ","P",06/17/2018 16:40,1,1,2         ,1         ,"",0.047,<0>  ,0.146,<0>  ,"","","","",0.085,<0>  ,11.1,<1> [GSM] (CHB) ,
