"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"grbornut  ","P",04/17/2017 9:00,1,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH0} {W} {WS1}",0.0080,<0>  ,0.035,<0>  ,"","","","",0.113,<0>  ,4.75,<1> [GSM] (CHB) ,
"grbornut  ","P",05/18/2017 10:05,1,1,1         ,1         ,"{CCL} {PNP} {TSE} {WH0} {W} {WS1}",0.014,<0>  ,0.111,<0>  ,"","","","",0.099,<0>  ,2.44,<0>  ,
"grbornut  ","P",05/18/2017 10:06,1,1,1         ,2         ,"{CCL} {PNP} {TSE} {WH0} {W} {WS1}",0.012,<0>  ,0.119,<0>  ,"","","","",0.101,<0>  ,3.18,<0>  ,
"grbornut  ","P",05/18/2017 10:07,1,1,1         ,3         ,"{CCL} {PNP} {TSE} {WH0} {W} {WS1}",0.015,<0>  ,0.114,<0>  ,"","","","",0.101,<0>  ,2.7,<0>  ,
"grbornut  ","P",06/12/2017 7:43,1,1,1         ,1         ,"{CCL} {PNP} {TSE} {WH0} {SW} {WS1}",0.015,<0>  ,0.071,<0>  ,"","","","",0.102,<0>  ,0.96,<1> [GSM] (CHB) ,
"grbornut  ","P",07/11/2017 7:20,1,1,1         ,1         ,"{COC} {PLR} {TSE} {WH0} {SW} {WS0}",0.036,<0>  ,0.044,<0>  ,"","","","",0.048,<0>  ,1.75,<1> [GSM] (CHB) ,
"grbornut  ","P",07/11/2017 7:21,1,1,1         ,2         ,"{COC} {PLR} {TSE} {WH0} {SW} {WS0}",0.037,<0>  ,0.046,<0>  ,"","","","",0.061,<0>  ,1.53,<1> [GSM] (CHB) ,
"grbornut  ","P",07/11/2017 7:22,1,1,1         ,3         ,"{COC} {PLR} {TSE} {WH0} {SW} {WS0}",0.039,<0>  ,0.045,<0>  ,"","","","",0.02,<0>  ,0.85,<1> [GSM] (CHB) ,
"grbornut  ","P",08/08/2017 6:20,1,1,1         ,1         ,"{COC} {PLR} {TSE} {WH0} {N} {WS0}",0.065,<0>  ,0.044,<0>  ,"","","","",0.11,<0>  ,8.95,<1> [GSM] (CHB) ,
"grbornut  ","P",09/11/2017 8:35,1,1,1         ,1         ,"{CCL} {PNP} {TSE} {WH0} {SW} {WS2}",0.058,<0>  ,0.019,<0>  ,"","","","",0.155,<0>  ,66.93,<1> [GQS] ,
"grbornut  ","P",10/23/2017 7:55,1,1,1         ,1         ,"{CPB} {PNP} {TSE} {WH0} {S} {WS0}",0.101,<0>  ,0.077,<0>  ,"","","","",0.169,<0>  ,20.27,<0>  ,
"grbornut  ","P",10/23/2017 7:56,1,1,1         ,2         ,"{CPB} {PNP} {TSE} {WH0} {S} {WS0}",0.097,<0>  ,0.107,<0>  ,"","","","",0.151,<0>  ,16.23,<0>  ,
"grbornut  ","P",10/23/2017 7:57,1,1,1         ,3         ,"{CPB} {PNP} {TSE} {WH0} {S} {WS0}",0.091,<0>  ,0.101,<0>  ,"","","","",0.168,<0>  ,18.6,<0>  ,
"grbornut  ","P",11/08/2017 7:55,1,1,1         ,1         ,"{CPB} {PNP} {TSE} {WH0} {NE} {WS1}",0.071,<0>  ,0.158,<0>  ,"","","","",0.12,<0>  ,1.31,<0>  ,
"grbornut  ","P",12/07/2017 9:21,1,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH0} {S} {WS1}",0.024,<0>  ,0.093,<0>  ,"","","","",0.296,<0>  ,2.16,<1> [GSM] (CHB) ,

