"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"grbsqnut  ","P",04/17/2017 10:36,1,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH1} {W} {WS2}",0.029,<0>  ,0.121,<0>  ,"","","","",0.089,<0>  ,8.37,<1> [GSM] (CHB) ,
"grbsqnut  ","P",05/18/2017 11:46,1,1,1         ,1         ,"{CCL} {PNP} {TSE} {WH0} {SW} {WS1}",0.031,<0>  ,0.188,<0>  ,"","","","",0.084,<0>  ,3.65,<0>  ,
"grbsqnut  ","P",06/12/2017 8:50,1,1,1         ,1         ,"{CCL} {PNP} {TSE} {WH0} {S} {WS1}",0.034,<0>  ,0.214,<0>  ,"","","","",0.108,<0>  ,3.0,<1> [GSM] (CHB) ,
"grbsqnut  ","P",06/12/2017 8:51,1,1,1         ,2         ,"{CCL} {PNP} {TSE} {WH0} {S} {WS1}",0.037,<0>  ,0.215,<0>  ,"","","","",0.106,<0>  ,2.41,<1> [GSM] (CHB) ,
"grbsqnut  ","P",06/12/2017 8:52,1,1,1         ,3         ,"{CCL} {PNP} {TSE} {WH0} {S} {WS1}",0.036,<0>  ,0.215,<0>  ,"","","","",0.116,<0>  ,2.46,<1> [GSM] (CHB) ,
"grbsqnut  ","P",07/11/2017 8:30,1,1,1         ,1         ,"{COC} {PLR} {TSE} {WH0} {SW} {WS0}",0.036,<0>  ,0.187,<0>  ,"","","","",0.218,<0>  ,1.85,<1> [GSM] (CHB) ,
"grbsqnut  ","P",08/08/2017 7:37,1,1,1         ,1         ,"{COC} {PDR} {TSE} {WH0} {N} {WS0}",0.069,<0>  ,0.549,<0>  ,"","","","",0.369,<0>  ,3.33,<1> [GSM] (CHB) ,
"grbsqnut  ","P",08/08/2017 7:38,1,1,1         ,2         ,"{COC} {PDR} {TSE} {WH0} {N} {WS0}",0.069,<0>  ,0.548,<0>  ,"","","","",0.444,<0>  ,3.53,<1> [GSM] (CHB) ,
"grbsqnut  ","P",08/08/2017 7:39,1,1,1         ,3         ,"{COC} {PDR} {TSE} {WH0} {N} {WS0}",0.068,<0>  ,0.559,<0>  ,"","","","",0.334,<0>  ,1.81,<1> [GSM] (CHB) ,
"grbsqnut  ","P",09/11/2017 9:52,1,1,1         ,1         ,"{CCL} {PNP} {TSE} {WH0} {SW} {WS0}",0.06,<0>  ,0.294,<0>  ,"","","","",0.271,<0>  ,15.99,<0>  ,
"grbsqnut  ","P",10/23/2017 9:05,1,1,1         ,1         ,"{COC} {PNP} {TSE} {WH0} {S} {WS0}",0.082,<0>  ,0.379,<0>  ,"","","","",0.506,<0>  ,3.5,<0>  ,
"grbsqnut  ","P",11/08/2017 9:32,1,1,1         ,1         ,"{CCL} {PNP} {TSE} {WH1} {N} {WS1}",0.054,<0>  ,0.252,<0>  ,"","","","",0.167,<0>  ,6.86,<0>  ,
"grbsqnut  ","P",12/07/2017 8:05,1,1,1         ,1         ,"{CCL} {PNP} {TSE} {WH0} {S} {WS1}",0.043,<0>  ,0.256,<0>  ,"","","","",0.244,<0>  ,3.21,<1> [GSM] (CHB) ,

