"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"nartsnut  ","P",01/09/2012 12:55,1,1,1         ,1         ,"{CSM} {CHB}",0.025,<1> (CHB) ,0.032,<1> (CHB) ,0.0040,<1> (CHB) ,0.196,<1> (CHB) ,0.2,<1> (CHB) ,0.58,<1> (CHB) ,
"nartsnut  ","P",01/09/2012 12:58,1,1,1         ,2         ,"{CSM} {CHB}",0.024,<1> (CHB) ,0.027,<1> (CHB) ,0.0040,<1> (CHB) ,0.199,<1> (CHB) ,0.203,<1> (CHB) ,0.49,<1> (CHB) ,
"nartsnut  ","P",02/09/2012 14:00,1,1,1         ,1         ,"{CSM} {CHB}",0.0020,<-4> [SBL] (CHB) ,0.01,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0047,<-4> [SBL] (CHB) ,1.92,<1> (CHB) ,
"nartsnut  ","P",02/09/2012 14:03,1,1,1         ,2         ,"{CSM} {CHB}",0.0020,<-4> [SBL] (CHB) ,0.0090,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0047,<-4> [SBL] (CHB) ,2.23,<1> (CHB) ,
"nartsnut  ","P",03/07/2012 12:00,1,1,1         ,1         ,"{CSM} {CHB}",0.0020,<-4> [SBL] (CHB) ,0.015,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0047,<-4> [SBL] (CHB) ,0.63,<1> (CHB) ,
"nartsnut  ","P",03/07/2012 12:04,1,1,1         ,2         ,"{CSM} {CHB}",0.0020,<-4> [SBL] (CHB) ,0.011,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0047,<-4> [SBL] (CHB) ,0.9,<1> (CHB) ,
"nartsnut  ","P",04/04/2012 10:20,1,1,1         ,1         ,"{CSM} {CHB}",0.0040,<1> (CHB) ,0.015,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0047,<-4> [SBL] (CHB) ,0.61,<1> (CHB) ,
"nartsnut  ","P",04/04/2012 10:22,1,1,1         ,2         ,"{CSM} {CHB}",0.0050,<1> (CHB) ,0.017,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0047,<-4> [SBL] (CHB) ,0.47,<1> (CHB) ,
"nartsnut  ","P",05/02/2012 9:10,1,1,1         ,1         ,"{CSM} {CHB}",0.0020,<-4> [SBL] (CHB) ,0.016,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0047,<-4> [SBL] (CHB) ,1.03,<1> (CHB) ,
"nartsnut  ","P",05/02/2012 9:13,1,1,1         ,2         ,"{CSM} {CHB}",0.0020,<-4> [SBL] (CHB) ,0.014,<1> (CHB) ,0.0050,<1> (CHB) ,"",<-4> [SCB] (CHB) ,0.0047,<-4> [SBL] (CHB) ,0.99,<1> (CHB) ,
"nartsnut  ","P",06/06/2012 14:35,1,1,1         ,1         ,"{CSM} {CHB}",0.0050,<1> (CHB) ,0.0060,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0047,<-4> [SBL] (CHB) ,1.28,<1> (CHB) ,
"nartsnut  ","P",06/06/2012 14:38,1,1,1         ,2         ,"{CSM} {CHB}",0.0060,<1> (CHB) ,0.0056,<-4> [SBL] (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0047,<-4> [SBL] (CHB) ,0.64,<1> (CHB) ,
"nartsnut  ","P",07/08/2012 15:50,1,1,1         ,1         ,"{CSM}",0.0070,<1> (CHB) ,0.0080,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0047,<-4> [SBL] (CHB) ,0.86,<0>  ,
"nartsnut  ","P",07/08/2012 15:52,1,1,1         ,2         ,"{CSM}",0.011,<1> (CHB) ,0.0080,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0047,<-4> [SBL] (CHB) ,1.04,<0>  ,
"nartsnut  ","P",08/16/2012 10:55,1,1,1         ,1         ,"{CSM} {CHB}",0.019,<1> (CHB) ,0.0090,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0047,<-4> [SBL] (CHB) ,3.5,<1> (CHB) ,
"nartsnut  ","P",08/16/2012 10:57,1,1,1         ,2         ,"{CSM} {CHB}",0.019,<1> (CHB) ,0.0060,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0047,<-4> [SBL] (CHB) ,3.3,<1> (CHB) ,
"nartsnut  ","P",09/14/2012 11:28,1,1,1         ,1         ,"{CSM} {CHB}",0.028,<1> (CHB) ,0.0056,<-4> [SBL] (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0047,<-4> [SBL] (CHB) ,2.23,<1> (CHB) ,
"nartsnut  ","P",09/14/2012 11:30,1,1,1         ,2         ,"{CSM} {CHB}",0.03,<1> (CHB) ,0.0070,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0047,<-4> [SBL] (CHB) ,1.72,<1> (CHB) ,
