"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"welhtnut  ","P",01/31/2018 9:00,0,1,1         ,1         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,
"welhtnut  ","P",01/31/2018 9:01,0,1,1         ,2         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,
"welhtnut  ","P",02/28/2018 10:01,0,1,1         ,1         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,
"welhtnut  ","P",02/28/2018 10:02,0,1,1         ,2         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,
"welhtnut  ","P",03/21/2018 8:01,0,1,1         ,1         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,
"welhtnut  ","P",03/21/2018 8:02,0,1,1         ,2         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,
"welhtnut  ","P",04/24/2018 10:30,0,1,1         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,"","","","",0.144,<0>  ,0.11,<-4> [SBL] ,
"welhtnut  ","P",04/24/2018 10:31,0,1,1         ,2         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,"","","","",0.144,<0>  ,0.11,<-4> [SBL] ,
"welhtnut  ","P",05/16/2018 10:30,0,1,1         ,1         ,"",0.0016,<-4> [SBL] ,0.012,<1> [SRD] ,"","","","",0.146,<0>  ,0.11,<-4> [SBL] ,
"welhtnut  ","P",05/16/2018 10:31,0,1,1         ,2         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,"","","","",0.148,<0>  ,0.2,<0>  ,
"welhtnut  ","P",06/19/2018 11:30,0,1,1         ,1         ,"",0.0070,<0>  ,0.028,<0>  ,"","","","",0.011,<1> [SRD] ,0.3,<0>  ,
"welhtnut  ","P",06/19/2018 11:31,0,1,1         ,2         ,"",0.0040,<0>  ,0.034,<0>  ,"","","","",0.089,<1> [SRD] ,0.2,<0>  ,
"welhtnut  ","P",07/17/2018 10:00,0,1,1         ,1         ,"",0.0030,<0>  ,0.036,<0>  ,"","","","",0.173,<0>  ,0.11,<-4> [SBL] ,
"welhtnut  ","P",07/17/2018 10:01,0,1,1         ,2         ,"",0.0050,<0>  ,0.03,<0>  ,"","","","",0.173,<0>  ,0.11,<-4> [SBL] ,
"welhtnut  ","P",08/21/2018 9:50,0,1,1         ,1         ,"",0.0020,<1> [SRD] ,0.02,<0>  ,"","","","",0.203,<0>  ,0.2,<0>  ,
"welhtnut  ","P",08/21/2018 9:51,0,1,1         ,2         ,"",0.0016,<-4> [SBL] ,0.013,<0>  ,"","","","",0.2,<0>  ,0.11,<-4> [SBL] ,
"welhtnut  ","P",09/24/2018 10:45,0,1,1         ,1         ,"",0.0030,<0>  ,0.0080,<1> [SRD] ,"","","","",0.215,<0>  ,0.11,<-4> [SBL] ,
"welhtnut  ","P",09/24/2018 10:46,0,1,1         ,2         ,"",0.0020,<0>  ,0.0062,<-4> [SBL] ,"","","","",0.218,<0>  ,0.11,<-4> [SBL] ,
"welhtnut  ","P",10/16/2018 11:30,0,1,1         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,"","","","",0.042,<0>  ,0.11,<-4> [SBL] ,
"welhtnut  ","P",10/16/2018 11:31,0,1,1         ,2         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,"","","","",0.04,<0>  ,0.11,<-4> [SBL] ,
"welhtnut  ","P",11/29/2018 12:10,0,1,1         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,"","","","",0.14,<0>  ,0.11,<-4> [SBL] ,
"welhtnut  ","P",11/29/2018 12:11,0,1,1         ,2         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,"","","","",0.12,<0>  ,0.11,<-4> [SBL] ,
"welhtnut  ","P",12/18/2018 8:00,0,1,1         ,1         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,
"welhtnut  ","P",12/18/2018 8:01,0,1,1         ,2         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,

