"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"welinnut  ","P",01/25/2017 10:45,0,1,2         ,1         ,"",0.012,<0>  ,0.025,<0>  ,"","","","",0.103,<0>  ,2.2,<0>  ,
"welinnut  ","P",01/25/2017 13:00,0,1,2         ,1         ,"",0.01,<0>  ,0.018,<0>  ,"","","","",0.071,<0>  ,1.8,<0>  ,
"welinnut  ","P",01/25/2017 15:15,0,1,2         ,1         ,"",0.0070,<0>  ,0.025,<0>  ,"","","","",0.055,<0>  ,1.0,<0>  ,
"welinnut  ","P",01/25/2017 17:30,0,1,2         ,1         ,"",0.0090,<0>  ,0.029,<0>  ,"","","","",0.06,<0>  ,1.8,<0>  ,
"welinnut  ","P",01/25/2017 19:45,0,1,2         ,1         ,"",0.016,<0>  ,0.018,<0>  ,"","","","",0.108,<0>  ,0.9,<0>  ,
"welinnut  ","P",01/25/2017 22:00,0,1,2         ,1         ,"",0.016,<0>  ,0.019,<0>  ,"","","","",0.105,<0>  ,1.6,<0>  ,
"welinnut  ","P",01/26/2017 0:15,0,1,2         ,1         ,"",0.014,<0>  ,0.024,<0>  ,"","","","",0.106,<0>  ,1.8,<0>  ,
"welinnut  ","P",01/26/2017 2:30,0,1,2         ,1         ,"",0.011,<0>  ,0.026,<0>  ,"","","","",0.095,<0>  ,1.5,<0>  ,
"welinnut  ","P",01/26/2017 4:45,0,1,2         ,1         ,"",0.011,<0>  ,0.039,<0>  ,"","","","",0.112,<0>  ,1.3,<0>  ,
"welinnut  ","P",01/26/2017 7:00,0,1,2         ,1         ,"",0.015,<0>  ,0.023,<0>  ,"","","","",0.108,<0>  ,1.8,<0>  ,
"welinnut  ","P",01/26/2017 9:15,0,1,2         ,1         ,"",0.011,<0>  ,0.026,<0>  ,"","","","",0.082,<0>  ,1.3,<0>  ,
