"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"wellmnut  ","P",03/29/2016 8:05,1,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.0056,<-4> [SBL] ,"","","","",0.121,<0>  ,0.6,<1> (CHB) ,
"wellmnut  ","P",03/29/2016 8:06,1,1,1         ,2         ,"",0.0020,<-4> [SBL] ,0.0056,<-4> [SBL] ,"","","","",0.12,<0>  ,0.6,<1> (CHB) ,
"wellmnut  ","P",04/20/2016 8:52,1,1,1         ,1         ,"",0.0020,<0>  ,0.0056,<-4> [SBL] ,"","","","",0.092,<1> [SRD] ,0.4,<1> (CHB) ,
"wellmnut  ","P",04/20/2016 8:53,1,1,1         ,2         ,"",0.0080,<0>  ,0.01,<1> [SRD] ,"","","","",0.023,<1> [SRD] ,0.6,<1> (CHB) ,
"wellmnut  ","P",05/19/2016 14:30,1,1,1         ,1         ,"",0.0030,<0>  ,0.0056,<-4> [SBL] ,"","","","",0.091,<0>  ,0.11,<-4> [SBL] (CHB) ,
"wellmnut  ","P",05/19/2016 14:31,1,1,1         ,2         ,"",0.0030,<0>  ,0.0056,<-4> [SBL] ,"","","","",0.103,<0>  ,0.11,<-4> [SBL] (CHB) ,
"wellmnut  ","P",06/16/2016 14:35,1,1,1         ,1         ,"",0.0030,<0>  ,0.01,<0>  ,"","","","",0.098,<0>  ,0.6,<1> (CHB) ,
"wellmnut  ","P",06/16/2016 14:36,1,1,1         ,2         ,"",0.0030,<0>  ,0.01,<0>  ,"","","","",0.099,<0>  ,0.5,<1> (CHB) ,
"wellmnut  ","P",07/19/2016 7:42,1,1,1         ,1         ,"",0.0040,<0>  ,0.03,<0>  ,"","","","",0.0080,<0>  ,2.6,<1> (CHB) ,
"wellmnut  ","P",07/19/2016 7:43,1,1,1         ,2         ,"",0.0040,<0>  ,0.028,<0>  ,"","","","",0.011,<0>  ,2.6,<1> (CHB) ,
"wellmnut  ","P",08/17/2016 8:45,1,1,1         ,1         ,"",0.01,<0>  ,0.014,<0>  ,"","","","",0.014,<1> [SRD] ,1.6,<1> (CHB) ,
"wellmnut  ","P",08/17/2016 8:46,1,1,1         ,2         ,"",0.01,<0>  ,0.018,<0>  ,"","","","",0.0080,<1> [SRD] ,1.5,<1> (CHB) ,
"wellmnut  ","P",09/20/2016 9:10,1,1,1         ,1         ,"",0.0090,<0>  ,0.052,<0>  ,"","","","",0.166,<0>  ,1.0,<1> (CHB) ,
"wellmnut  ","P",09/20/2016 9:11,1,1,1         ,2         ,"",0.0080,<0>  ,0.044,<0>  ,"","","","",0.157,<0>  ,0.9,<1> (CHB) ,
"wellmnut  ","P",10/27/2016 9:10,1,1,1         ,1         ,"",0.019,<0>  ,0.0080,<1> [SRD] ,"","","","",0.105,<0>  ,0.4,<1> (CHB) ,
"wellmnut  ","P",10/27/2016 9:11,1,1,1         ,2         ,"",0.024,<0>  ,0.024,<1> [SRD] ,"","","","",0.126,<0>  ,0.4,<1> (CHB) ,
"wellmnut  ","P",11/19/2016 11:00,1,1,1         ,1         ,"",0.013,<0>  ,0.012,<0>  ,"","","","",0.118,<0>  ,0.7,<1> (CHB) ,
"wellmnut  ","P",11/19/2016 11:01,1,1,1         ,2         ,"",0.014,<0>  ,0.0070,<0>  ,"","","","",0.103,<0>  ,0.8,<1> (CHB) ,

