"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"welsmnut  ","P",01/31/2018 8:30,0,1,1         ,1         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,
"welsmnut  ","P",01/31/2018 8:31,0,1,1         ,2         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,
"welsmnut  ","P",02/28/2018 10:05,0,1,1         ,1         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,
"welsmnut  ","P",02/28/2018 10:06,0,1,1         ,2         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,
"welsmnut  ","P",03/21/2018 8:05,0,1,1         ,1         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,
"welsmnut  ","P",03/21/2018 8:06,0,1,1         ,2         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,
"welsmnut  ","P",04/24/2018 9:30,0,1,1         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,"","","","",0.065,<0>  ,0.2,<0>  ,
"welsmnut  ","P",04/24/2018 9:31,0,1,1         ,2         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,"","","","",0.066,<0>  ,0.11,<-4> [SBL] ,
"welsmnut  ","P",05/16/2018 9:30,0,1,1         ,1         ,"",0.0016,<-4> [SBL] ,0.021,<0>  ,"","","","",0.168,<0>  ,0.2,<0>  ,
"welsmnut  ","P",05/16/2018 9:31,0,1,1         ,2         ,"",0.0020,<1> [SRD] ,0.021,<0>  ,"","","","",0.182,<0>  ,0.2,<0>  ,
"welsmnut  ","P",06/19/2018 10:05,0,1,1         ,1         ,"",0.0020,<1> [SRD] ,0.024,<0>  ,"","","","",0.176,<0>  ,0.5,<0>  ,
"welsmnut  ","P",06/19/2018 10:06,0,1,1         ,2         ,"",0.0016,<-4> [SBL] ,0.03,<0>  ,"","","","",0.174,<0>  ,0.5,<0>  ,
"welsmnut  ","P",07/17/2018 9:00,0,1,1         ,1         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,
"welsmnut  ","P",07/17/2018 9:01,0,1,1         ,2         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,
"welsmnut  ","P",08/21/2018 8:30,0,1,1         ,1         ,"",0.0020,<1> [SRD] ,0.012,<0>  ,"","","","",0.038,<0>  ,4.4,<0>  ,
"welsmnut  ","P",08/21/2018 8:31,0,1,1         ,2         ,"",0.0016,<-4> [SBL] ,0.013,<0>  ,"","","","",0.039,<0>  ,6.1,<0>  ,
"welsmnut  ","P",09/24/2018 9:50,0,1,1         ,1         ,"",0.0030,<0>  ,0.033,<0>  ,"","","","",0.184,<0>  ,0.4,<0>  ,
"welsmnut  ","P",09/24/2018 9:51,0,1,1         ,2         ,"",0.0030,<0>  ,0.031,<0>  ,"","","","",0.165,<0>  ,0.3,<0>  ,
"welsmnut  ","P",10/16/2018 9:40,0,1,1         ,1         ,"",0.0016,<-4> [SBL] ,0.012,<0>  ,"","","","",0.063,<0>  ,0.11,<-4> [SBL] ,
"welsmnut  ","P",10/16/2018 9:41,0,1,1         ,2         ,"",0.0016,<-4> [SBL] ,0.012,<0>  ,"","","","",0.048,<0>  ,0.11,<-4> [SBL] ,
"welsmnut  ","P",11/29/2018 10:45,0,1,1         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,"","","","",0.177,<0>  ,0.11,<-4> [SBL] ,
"welsmnut  ","P",11/29/2018 10:46,0,1,1         ,2         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,"","","","",0.166,<0>  ,0.11,<-4> [SBL] ,
"welsmnut  ","P",12/18/2018 8:04,0,1,1         ,1         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,
"welsmnut  ","P",12/18/2018 8:05,0,1,1         ,2         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,

