"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"wqbcrnut  ","P",02/25/2015 10:49,1,1,1         ,1         ,"",0.0060,<0>  ,0.06,<0>  ,"","","","",0.306,<1> (CHB) ,2.7,<0>  ,
"wqbcrnut  ","P",02/25/2015 10:55,1,1,1         ,2         ,"",0.0060,<0>  ,0.053,<0>  ,"","","","",0.222,<1> (CHB) ,2.1,<0>  ,
"wqbcrnut  ","P",03/11/2015 7:55,1,1,1         ,1         ,"",0.0080,<0>  ,0.044,<0>  ,"","","","",0.149,<0>  ,3.0,<0>  ,
"wqbcrnut  ","P",03/11/2015 8:01,1,1,1         ,2         ,"",0.0070,<0>  ,0.028,<0>  ,"","","","",0.11,<0>  ,1.0,<0>  ,
"wqbcrnut  ","P",04/13/2015 9:53,1,1,1         ,1         ,"",0.0090,<0>  ,0.052,<0>  ,"","","","",0.349,<1> (CHB) ,2.9,<0>  ,
"wqbcrnut  ","P",04/13/2015 9:58,1,1,1         ,2         ,"",0.0090,<0>  ,0.056,<0>  ,"","","","",0.4,<1> (CHB) ,2.1,<0>  ,
"wqbcrnut  ","P",05/27/2015 11:12,1,1,1         ,1         ,"{CSM}",0.028,<0>  ,0.052,<0>  ,"","","","",0.677,<1> [GSM] (CHB) ,24.6,<0>  ,
"wqbcrnut  ","P",05/27/2015 11:17,1,1,1         ,2         ,"{CSM}",0.03,<0>  ,0.059,<0>  ,"","","","",0.653,<1> [GSM] (CHB) ,17.1,<0>  ,
"wqbcrnut  ","P",06/10/2015 9:10,1,1,1         ,1         ,"",0.0050,<0>  ,0.0090,<0>  ,"","","","",0.013,<0>  ,48.5,<1> [SRD] ,
"wqbcrnut  ","P",06/10/2015 9:14,1,1,1         ,2         ,"",0.0060,<0>  ,0.0060,<0>  ,"","","","",0.016,<0>  ,26.0,<1> [SRD] ,
"wqbcrnut  ","P",07/08/2015 9:21,1,1,1         ,1         ,"",0.014,<0>  ,0.016,<0>  ,"","","","",0.435,<1> (CHB) ,33.2,<0>  ,
"wqbcrnut  ","P",07/08/2015 9:26,1,1,1         ,2         ,"",0.016,<0>  ,0.015,<0>  ,"","","","",0.412,<1> (CHB) ,32.0,<0>  ,
"wqbcrnut  ","P",08/05/2015 8:20,1,1,1         ,1         ,"",0.028,<0>  ,0.0090,<0>  ,"","","","",0.021,<1> (CHB) ,37.4,<1> [SRD] (CHB) ,
"wqbcrnut  ","P",08/05/2015 8:24,1,1,1         ,2         ,"",0.036,<0>  ,0.0090,<0>  ,"","","","",0.018,<1> (CHB) ,63.7,<1> [SRD] (CHB) ,
"wqbcrnut  ","P",09/22/2015 10:51,1,1,1         ,1         ,"",0.012,<0>  ,0.0080,<0>  ,"","","","",0.014,<1> (CHB) ,38.0,<1> (CHB) ,
"wqbcrnut  ","P",09/22/2015 10:56,1,1,1         ,2         ,"",0.0050,<0>  ,0.013,<0>  ,"","","","",0.0090,<1> (CHB) ,37.2,<1> (CHB) ,
"wqbcrnut  ","P",10/21/2015 9:54,1,1,1         ,1         ,"",0.012,<0>  ,0.021,<0>  ,"","","","",0.025,<0>  ,41.8,<1> (CHB) ,
"wqbcrnut  ","P",10/21/2015 9:58,1,1,1         ,2         ,"",0.017,<0>  ,0.021,<0>  ,"","","","",0.034,<0>  ,43.3,<1> (CHB) ,
"wqbcrnut  ","P",11/04/2015 10:45,1,1,1         ,1         ,"",0.0080,<0>  ,0.023,<0>  ,"","","","",0.0010,<-4> [SBL] ,48.3,<1> (CHB) ,
"wqbcrnut  ","P",11/04/2015 10:50,1,1,1         ,2         ,"",0.011,<0>  ,0.016,<0>  ,"","","","",0.0090,<0>  ,48.8,<1> (CHB) ,
"wqbcrnut  ","P",12/01/2015 9:47,1,1,1         ,1         ,"",0.0060,<0>  ,0.043,<0>  ,"","","","",0.101,<0>  ,7.7,<1> (CHB) ,
"wqbcrnut  ","P",12/01/2015 9:51,1,1,1         ,2         ,"",0.0070,<0>  ,0.049,<0>  ,"","","","",0.064,<0>  ,8.5,<1> (CHB) ,

