"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"wqbmhnut  ","P",01/03/2017 8:31,0,1,2         ,1         ,"",0.0087,<0>  ,0.0052,<0>  ,"","","","",0.011,<0>  ,3.9,<0>  ,
"wqbmhnut  ","P",01/03/2017 10:46,0,1,2         ,1         ,"",0.0094,<0>  ,0.0089,<0>  ,"","","","",0.0058,<0>  ,4.0,<0>  ,
"wqbmhnut  ","P",01/03/2017 13:01,0,1,2         ,1         ,"",0.0116,<0>  ,0.0058,<0>  ,"","","","",0.0012,<0>  ,3.6,<0>  ,
"wqbmhnut  ","P",01/03/2017 15:16,0,1,2         ,1         ,"",0.0116,<0>  ,0.0052,<0>  ,"","","","",5.0E-4,<0>  ,4.4,<0>  ,
"wqbmhnut  ","P",01/03/2017 17:31,0,1,2         ,1         ,"",0.0116,<0>  ,0.0027,<0>  ,"","","","",0.0048,<0>  ,3.9,<0>  ,
"wqbmhnut  ","P",01/03/2017 19:46,0,1,2         ,1         ,"",0.0116,<0>  ,0.0077,<0>  ,"","","","",0.0032,<0>  ,3.6,<0>  ,
"wqbmhnut  ","P",01/03/2017 22:01,0,1,2         ,1         ,"",0.0101,<0>  ,0.0052,<0>  ,"","","","",0.0097,<0>  ,3.4,<0>  ,
"wqbmhnut  ","P",01/04/2017 0:16,0,1,2         ,1         ,"",0.0116,<0>  ,0.0046,<0>  ,"","","","",0.0010,<0>  ,3.4,<0>  ,
"wqbmhnut  ","P",01/04/2017 2:31,0,1,2         ,1         ,"",0.013,<0>  ,0.0040,<0>  ,"","","","",0.0018,<0>  ,3.7,<0>  ,
"wqbmhnut  ","P",01/04/2017 4:46,0,1,2         ,1         ,"",0.0116,<0>  ,0.0046,<0>  ,"","","","",0.0053,<0>  ,3.3,<0>  ,
"wqbmhnut  ","P",01/04/2017 7:01,0,1,2         ,1         ,"",0.0116,<0>  ,0.0040,<0>  ,"","","","",0.0054,<0>  ,3.2,<0>  ,
"wqbmhnut  ","P",01/04/2017 9:16,0,1,2         ,1         ,"",0.0109,<0>  ,0.0027,<0>  ,"","","","",0.0053,<0>  ,3.5,<0>  ,
"wqbmhnut  ","P",01/04/2017 9:33,0,1,1         ,1         ,"",0.0101,<0>  ,0.0071,<0>  ,"","","","",0.0067,<0>  ,3.2,<0>  ,
"wqbmhnut  ","P",01/04/2017 9:38,0,1,1         ,2         ,"",0.0116,<0>  ,0.0077,<0>  ,"","","","",0.0048,<0>  ,3.3,<0>  ,
"wqbmhnut  ","P",02/06/2017 11:38,0,1,2         ,1         ,"",0.0070,<1> (CHB) ,0.0091,<1> (CHB) ,"","","","",0.0173,<1> (CHB) ,2.9,<0>  ,
"wqbmhnut  ","P",02/06/2017 11:53,0,1,1         ,1         ,"",0.0102,<1> (CHB) ,0.0091,<1> (CHB) ,"","","","",0.0202,<1> (CHB) ,2.8,<0>  ,
"wqbmhnut  ","P",02/06/2017 11:57,0,1,1         ,2         ,"",0.0077,<1> (CHB) ,0.0104,<1> (CHB) ,"","","","",0.0198,<1> (CHB) ,2.8,<0>  ,
"wqbmhnut  ","P",02/06/2017 13:53,0,1,2         ,1         ,"",0.0046,<1> (CHB) ,0.0091,<1> (CHB) ,"","","","",0.028,<1> (CHB) ,3.6,<0>  ,
"wqbmhnut  ","P",02/06/2017 16:08,0,1,2         ,1         ,"",0.0093,<1> (CHB) ,0.0065,<1> (CHB) ,"","","","",0.0087,<1> (CHB) ,2.6,<0>  ,
"wqbmhnut  ","P",02/06/2017 18:23,0,1,2         ,1         ,"",0.0093,<1> (CHB) ,0.0078,<1> (CHB) ,"","","","",0.0092,<1> (CHB) ,2.6,<0>  ,
"wqbmhnut  ","P",02/06/2017 20:38,0,1,2         ,1         ,"",0.0077,<1> (CHB) ,0.0097,<1> (CHB) ,"","","","",0.0061,<1> (CHB) ,2.6,<0>  ,
"wqbmhnut  ","P",02/06/2017 22:53,0,1,2         ,1         ,"",0.0077,<1> (CHB) ,0.0078,<1> (CHB) ,"","","","",0.0132,<1> (CHB) ,2.4,<0>  ,
