"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"wqbmpnut  ","P",01/17/2013 14:44,0,1,1         ,1         ,"",0.0244,<0>  ,0.0042,<0>  ,"","","","",0.0296,<0>  ,1.9,<0>  ,
"wqbmpnut  ","P",01/17/2013 14:48,0,1,1         ,2         ,"",0.0248,<0>  ,0.0072,<0>  ,"","","","",0.0074,<0>  ,2.2,<0>  ,
"wqbmpnut  ","P",02/04/2013 9:00,0,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> (CSM) ,
"wqbmpnut  ","P",02/04/2013 9:03,0,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> (CSM) ,
"wqbmpnut  ","P",03/05/2013 8:30,0,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> (CSM) ,
"wqbmpnut  ","P",03/05/2013 8:33,0,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> (CSM) ,
"wqbmpnut  ","P",04/16/2013 8:01,0,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> (CSM) ,
"wqbmpnut  ","P",04/16/2013 8:03,0,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> (CSM) ,
"wqbmpnut  ","P",05/14/2013 7:12,0,1,1         ,1         ,"",0.0564,<0>  ,0.0485,<0>  ,"","","","",0.0022,<-4> [SBL] ,2.1,<0>  ,
"wqbmpnut  ","P",05/14/2013 7:16,0,1,1         ,2         ,"",0.0543,<0>  ,0.0496,<0>  ,"","","","",0.0011,<0>  ,4.0,<0>  ,
"wqbmpnut  ","P",06/12/2013 8:59,0,1,1         ,1         ,"",0.054,<0>  ,0.0466,<0>  ,"","","","",0.0022,<-4> [SBL] ,1.8,<0>  ,
"wqbmpnut  ","P",06/12/2013 9:02,0,1,1         ,2         ,"",0.0534,<0>  ,0.0479,<0>  ,"","","","",0.0022,<-4> [SBL] ,3.3,<0>  ,
"wqbmpnut  ","P",07/25/2013 8:30,0,1,1         ,1         ,"",0.0271,<0>  ,0.0503,<0>  ,"","","","",0.0659,<0>  ,5.4,<0>  ,
"wqbmpnut  ","P",07/25/2013 8:35,0,1,1         ,2         ,"",0.0273,<0>  ,0.0532,<1> [SCC] ,"","","","",0.0658,<1> [SCC] ,6.3,<0>  ,
"wqbmpnut  ","P",08/13/2013 10:53,0,1,1         ,1         ,"",0.0468,<0>  ,0.035,<0>  ,"","","","",0.0141,<0>  ,5.1,<0>  ,
"wqbmpnut  ","P",08/13/2013 10:56,0,1,1         ,2         ,"",0.0443,<0>  ,0.0217,<0>  ,"","","","",0.0108,<0>  ,5.8,<0>  ,
"wqbmpnut  ","P",09/11/2013 10:21,0,1,1         ,1         ,"",0.0447,<0>  ,0.1426,<1> [SCC] ,"","","","",0.014,<1> [SCC] ,2.2,<0>  ,
"wqbmpnut  ","P",09/11/2013 10:24,0,1,1         ,2         ,"",0.0467,<0>  ,0.0811,<0>  ,"","","","",0.0088,<0>  ,1.6,<0>  ,
"wqbmpnut  ","P",10/24/2013 11:20,0,1,1         ,1         ,"",0.0088,<0>  ,0.0402,<0>  ,"","","","",0.0035,<0>  ,"",<-2> (CSM) ,
"wqbmpnut  ","P",10/24/2013 11:45,0,1,1         ,2         ,"",0.0088,<0>  ,0.0402,<0>  ,"","","","",0.0036,<0>  ,"",<-2> (CSM) ,
"wqbmpnut  ","P",11/12/2013 11:19,0,1,1         ,1         ,"",0.0036,<0>  ,0.0231,<0>  ,"","","","",0.0031,<0>  ,"",<-2> (CSM) ,
"wqbmpnut  ","P",11/12/2013 11:24,0,1,1         ,2         ,"",0.0030,<-4> [SBL] ,0.0231,<0>  ,"","","","",0.0063,<0>  ,2.5,<0>  ,
"wqbmpnut  ","P",12/10/2013 10:00,0,1,1         ,1         ,"",0.0044,<0>  ,0.0331,<0>  ,"","","","",0.0010,<-4> [SBL] ,2.3,<0>  ,
"wqbmpnut  ","P",12/10/2013 10:06,0,1,1         ,2         ,"",0.0059,<0>  ,0.0388,<0>  ,"","","","",0.0010,<-4> [SBL] ,2.5,<0>  ,

