"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"wqbslnut  ","P",01/07/2020 15:14,0,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"wqbslnut  ","P",01/07/2020 15:18,0,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"wqbslnut  ","P",02/04/2020 12:14,0,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"wqbslnut  ","P",02/04/2020 12:18,0,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"wqbslnut  ","P",03/31/2020 11:42,0,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"wqbslnut  ","P",03/31/2020 11:48,0,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"wqbslnut  ","P",04/29/2020 10:23,0,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"wqbslnut  ","P",04/29/2020 10:28,0,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"wqbslnut  ","P",05/27/2020 9:15,0,1,1         ,1         ,"",0.0024,<-4> [SBL] ,0.0040,<0>  ,"","","","",0.0010,<0>  ,4.1,<1> (CHB) ,
"wqbslnut  ","P",05/27/2020 9:21,0,1,1         ,2         ,"",0.0024,<-4> [SBL] ,0.0070,<0>  ,"","","","",0.0010,<0>  ,3.9,<1> (CHB) ,
"wqbslnut  ","P",06/29/2020 11:56,0,1,1         ,1         ,"",0.0050,<0>  ,0.013,<0>  ,"","","","",0.0050,<0>  ,4.4,<1> (CHB) ,
"wqbslnut  ","P",06/29/2020 12:01,0,1,1         ,2         ,"",0.0060,<0>  ,0.0080,<0>  ,"","","","",0.0040,<0>  ,4.2,<1> (CHB) ,
"wqbslnut  ","P",07/27/2020 10:48,0,1,1         ,1         ,"",0.0024,<-4> [SBL] ,0.01,<0>  ,"","","","",0.0020,<0>  ,4.5,<1> (CHB) ,
"wqbslnut  ","P",07/27/2020 10:52,0,1,1         ,2         ,"",0.0024,<-4> [SBL] ,0.013,<0>  ,"","","","",0.0010,<0>  ,5.3,<1> (CHB) ,
"wqbslnut  ","P",08/24/2020 9:41,0,1,1         ,1         ,"",0.0080,<0>  ,0.016,<0>  ,"","","","",0.012,<1> (CHB) ,8.1,<0>  ,
"wqbslnut  ","P",08/24/2020 9:47,0,1,1         ,2         ,"",0.0060,<0>  ,0.016,<0>  ,"","","","",0.015,<1> (CHB) ,7.8,<0>  ,
"wqbslnut  ","P",09/23/2020 10:10,0,1,1         ,1         ,"",0.0040,<0>  ,0.0070,<0>  ,"","","","",0.0050,<0>  ,3.2,<0>  ,
"wqbslnut  ","P",09/23/2020 10:14,0,1,1         ,2         ,"",0.0040,<0>  ,0.017,<0>  ,"","","","",0.0040,<0>  ,3.0,<0>  ,
"wqbslnut  ","P",10/21/2020 8:51,0,1,1         ,1         ,"",0.01,<0>  ,0.015,<0>  ,"","","","",0.0040,<1> (CHB) ,2.3,<0>  ,
"wqbslnut  ","P",10/21/2020 8:55,0,1,1         ,2         ,"",0.01,<0>  ,0.015,<0>  ,"","","","",0.0040,<1> (CHB) ,2.3,<0>  ,
"wqbslnut  ","P",11/24/2020 13:42,0,1,1         ,1         ,"",0.0050,<0>  ,0.029,<0>  ,"","","","",0.0070,<0>  ,3.1,<0>  ,
"wqbslnut  ","P",11/24/2020 13:45,0,1,1         ,2         ,"",0.0050,<0>  ,0.02,<0>  ,"","","","",0.0080,<0>  ,2.9,<0>  ,
"wqbslnut  ","P",12/07/2020 10:54,0,1,1         ,1         ,"",0.0040,<0>  ,0.066,<0>  ,"","","","",0.013,<0>  ,1.9,<1> (CHB) ,
"wqbslnut  ","P",12/07/2020 10:58,0,1,1         ,2         ,"",0.0030,<0>  ,0.068,<0>  ,"","","","",0.014,<0>  ,1.6,<1> (CHB) ,

