"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"grbgbwq   ","P",05/07/2020 13:45,0,1,"",11.1,<0> (CND),32.98,<0> (CND),20.6,<0> (CND),99.6,<0> (CND),9.6,<0> (CND),7.01,<0> (CND),7.11,<3> ,"",<-1> ,"","",8.0,<0> (CND),4,<0> (CND),2.6,<0> (CND),
"grbgbwq   ","P",05/07/2020 14:00,0,1,"",11.2,<0> ,32.81,<0> ,20.5,<0> ,99.6,<0> ,9.6,<0> ,6.92,<0> ,7.02,<3> ,"",<-1> ,"","",8.0,<0> ,3,<0> ,3.0,<0> ,
"grbgbwq   ","P",05/07/2020 14:15,0,1,"",11.3,<0> ,32.59,<0> ,20.3,<0> ,99.8,<0> ,9.6,<0> ,6.82,<0> ,6.92,<3> ,"",<-1> ,"","",8.0,<0> ,3,<0> ,3.4,<0> ,
"grbgbwq   ","P",05/07/2020 14:30,0,1,"",11.3,<0> ,32.51,<0> ,20.3,<0> ,99.6,<0> ,9.6,<0> ,6.72,<0> ,6.83,<3> ,"",<-1> ,"","",8.0,<0> ,3,<0> ,3.4,<0> ,
"grbgbwq   ","P",05/07/2020 14:45,0,1,"",11.3,<0> ,32.44,<0> ,20.2,<0> ,99.4,<0> ,9.6,<0> ,6.61,<0> ,6.72,<3> ,"",<-1> ,"","",8.0,<0> ,3,<0> ,3.4,<0> ,
"grbgbwq   ","P",05/07/2020 15:00,0,1,"",11.3,<0> ,32.24,<0> ,20.1,<0> ,99.5,<0> ,9.6,<0> ,6.51,<0> ,6.62,<3> ,"",<-1> ,"","",8.0,<0> ,3,<0> ,3.5,<0> ,
"grbgbwq   ","P",05/07/2020 15:15,0,1,"",11.4,<0> ,32.13,<0> ,20.0,<0> ,99.5,<0> ,9.6,<0> ,6.40,<0> ,6.50,<3> ,"",<-1> ,"","",8.0,<0> ,2,<0> ,3.9,<0> ,
"grbgbwq   ","P",05/07/2020 15:30,0,1,"",11.4,<0> ,32.14,<0> ,20.0,<0> ,99.5,<0> ,9.6,<0> ,6.28,<0> ,6.38,<3> ,"",<-1> ,"","",8.0,<0> ,3,<0> ,3.9,<0> ,
"grbgbwq   ","P",05/07/2020 15:45,0,1,"",11.6,<0> ,31.67,<0> ,19.7,<0> ,100.1,<0> ,9.6,<0> ,6.16,<0> ,6.26,<3> ,"",<-1> ,"","",8.0,<0> ,3,<0> ,3.8,<0> ,
"grbgbwq   ","P",05/07/2020 16:00,0,1,"",12.5,<0> ,30.24,<0> ,18.8,<0> ,104.4,<0> ,9.9,<0> ,6.05,<0> ,6.15,<3> ,"",<-1> ,"","",8.1,<0> ,3,<0> ,4.2,<0> ,
