"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"wqbslwq   ","P",06/18/2020 10:30,0,1,"",22.7,<0> (CND),45.02,<0> (CND),29.2,<0> (CND),113.1,<0> (CND),8.2,<0> (CND),0.90,<0> (CND),"","","",<-1> ,"","",8.0,<0> (CND),2,<0> (CND),5.6,<0> (CND),
"wqbslwq   ","P",06/18/2020 10:45,0,1,"",22.8,<0> ,44.97,<0> ,29.1,<0> ,114.4,<0> ,8.3,<0> ,0.92,<0> ,"","","",<-1> ,"","",8.0,<0> ,2,<0> ,5.5,<0> ,
"wqbslwq   ","P",06/18/2020 11:00,0,1,"",22.8,<0> ,45.06,<0> ,29.2,<0> ,117.9,<0> ,8.6,<0> ,0.92,<0> ,"","","",<-1> ,"","",8.0,<0> ,2,<0> ,5.6,<0> ,
"wqbslwq   ","P",06/18/2020 11:15,0,1,"",22.9,<0> ,45.13,<0> ,29.2,<0> ,117.7,<0> ,8.5,<0> ,0.93,<0> ,"","","",<-1> ,"","",8.0,<0> ,2,<0> ,5.4,<0> ,
"wqbslwq   ","P",06/18/2020 11:30,0,1,"",23.0,<0> ,45.21,<0> ,29.3,<0> ,123.7,<0> ,9.0,<0> ,0.92,<0> ,"","","",<-1> ,"","",8.0,<0> ,2,<0> ,5.6,<0> ,
"wqbslwq   ","P",06/18/2020 11:45,0,1,"",23.1,<0> ,45.26,<0> ,29.3,<0> ,120.4,<0> ,8.7,<0> ,0.92,<0> ,"","","",<-1> ,"","",8.0,<0> ,2,<0> ,4.8,<0> ,
"wqbslwq   ","P",06/18/2020 12:00,0,1,"",23.2,<0> ,45.30,<0> ,29.4,<0> ,116.3,<0> ,8.4,<0> ,0.92,<0> ,"","","",<-1> ,"","",8.0,<0> ,2,<0> ,4.6,<0> ,
"wqbslwq   ","P",06/18/2020 12:15,0,1,"",23.3,<0> ,45.32,<0> ,29.4,<0> ,120.5,<0> ,8.7,<0> ,0.91,<0> ,"","","",<-1> ,"","",8.0,<0> ,2,<0> ,4.8,<0> ,
"wqbslwq   ","P",06/18/2020 12:30,0,1,"",23.5,<0> ,45.29,<0> ,29.3,<0> ,119.5,<0> ,8.6,<0> ,0.90,<0> ,"","","",<-1> ,"","",8.0,<0> ,2,<0> ,4.6,<0> ,
"wqbslwq   ","P",06/18/2020 12:45,0,1,"",23.6,<0> ,45.29,<0> ,29.3,<0> ,125.6,<0> ,9.0,<0> ,0.89,<0> ,"","","",<-1> ,"","",8.0,<0> ,2,<0> ,5.3,<0> ,
"wqbslwq   ","P",06/18/2020 13:00,0,1,"",23.7,<0> ,45.17,<0> ,29.2,<0> ,125.6,<0> ,9.0,<0> ,0.87,<0> ,"","","",<-1> ,"","",8.0,<0> ,2,<0> ,4.6,<0> ,
"wqbslwq   ","P",06/18/2020 13:15,0,1,"",23.8,<0> ,45.02,<0> ,29.1,<0> ,125.7,<0> ,9.0,<0> ,0.86,<0> ,"","","",<-1> ,"","",8.0,<0> ,2,<0> ,5.2,<0> ,
"wqbslwq   ","P",06/18/2020 13:30,0,1,"",24.0,<0> ,45.22,<0> ,29.3,<0> ,141.0,<0> ,10.0,<0> ,0.85,<0> ,"","","",<-1> ,"","",8.1,<0> ,2,<0> ,5.1,<0> ,
"wqbslwq   ","P",06/18/2020 13:45,0,1,"",24.0,<0> ,45.10,<0> ,29.2,<0> ,144.6,<0> ,10.3,<0> ,0.84,<0> ,"","","",<-1> ,"","",8.1,<0> ,2,<0> ,5.5,<0> ,
"wqbslwq   ","P",06/18/2020 14:00,0,1,"",24.2,<0> ,45.12,<0> ,29.2,<0> ,152.5,<0> ,10.8,<0> ,0.83,<0> ,"","","",<-1> ,"","",8.2,<0> ,2,<0> ,5.9,<0> ,
"wqbslwq   ","P",06/18/2020 14:15,0,1,"",24.5,<0> ,44.98,<0> ,29.1,<0> ,138.6,<0> ,9.8,<0> ,0.82,<0> ,"","","",<-1> ,"","",8.1,<0> ,2,<0> ,5.1,<0> ,
"wqbslwq   ","P",06/18/2020 14:30,0,1,"",24.6,<0> ,44.98,<0> ,29.1,<0> ,129.6,<0> ,9.1,<0> ,0.80,<0> ,"","","",<-1> ,"","",8.1,<0> ,2,<0> ,4.9,<0> ,
"wqbslwq   ","P",06/18/2020 14:45,0,1,"",24.7,<0> ,44.95,<0> ,29.1,<0> ,140.7,<0> ,9.9,<0> ,0.80,<0> ,"","","",<-1> ,"","",8.1,<0> ,2,<0> ,5.4,<0> ,
"wqbslwq   ","P",06/18/2020 15:00,0,1,"",24.8,<0> ,44.89,<0> ,29.0,<0> ,133.3,<0> ,9.4,<0> ,0.79,<0> ,"","","",<-1> ,"","",8.1,<0> ,2,<0> ,5.5,<0> ,
"wqbslwq   ","P",06/18/2020 15:15,0,1,"",24.8,<0> ,45.03,<0> ,29.1,<0> ,142.4,<0> ,10.0,<0> ,0.78,<0> ,"","","",<-1> ,"","",8.1,<0> ,2,<0> ,6.1,<0> ,
"wqbslwq   ","P",06/18/2020 15:30,0,1,"",24.9,<0> ,45.05,<0> ,29.1,<0> ,144.9,<0> ,10.2,<0> ,0.77,<0> ,"","","",<-1> ,"","",8.1,<0> ,3,<0> ,5.7,<0> ,
"wqbslwq   ","P",06/18/2020 15:45,0,1,"",25.0,<0> ,45.08,<0> ,29.2,<0> ,141.6,<0> ,9.9,<0> ,0.76,<0> ,"","","",<-1> ,"","",8.1,<0> ,2,<0> ,6.0,<0> ,
"wqbslwq   ","P",06/18/2020 16:00,0,1,"",25.0,<0> ,45.00,<0> ,29.1,<0> ,140.0,<0> ,9.8,<0> ,0.76,<0> ,"","","",<-1> ,"","",8.1,<0> ,2,<0> ,6.3,<0> ,
"wqbslwq   ","P",06/18/2020 16:15,0,1,"",25.1,<0> ,45.11,<0> ,29.2,<0> ,138.8,<0> ,9.7,<0> ,0.77,<0> ,"","","",<-1> ,"","",8.1,<0> ,3,<0> ,5.7,<0> ,
"wqbslwq   ","P",06/18/2020 16:30,0,1,"",25.1,<0> ,45.26,<0> ,29.3,<0> ,143.9,<0> ,10.1,<0> ,0.77,<0> ,"","","",<-1> ,"","",8.2,<0> ,2,<0> ,6.3,<0> ,
"wqbslwq   ","P",06/18/2020 16:45,0,1,"",25.1,<0> ,45.30,<0> ,29.3,<0> ,143.7,<0> ,10.0,<0> ,0.78,<0> ,"","","",<-1> ,"","",8.2,<0> ,2,<0> ,6.9,<0> ,
"wqbslwq   ","P",06/18/2020 17:00,0,1,"",25.1,<0> ,45.33,<0> ,29.3,<0> ,142.6,<0> ,10.0,<0> ,0.80,<0> ,"","","",<-1> ,"","",8.2,<0> ,2,<0> ,6.8,<0> ,
"wqbslwq   ","P",06/18/2020 17:15,0,1,"",25.2,<0> ,45.37,<0> ,29.4,<0> ,136.4,<0> ,9.5,<0> ,0.82,<0> ,"","","",<-1> ,"","",8.1,<0> ,2,<0> ,7.4,<0> ,
"wqbslwq   ","P",06/18/2020 17:30,0,1,"",25.3,<0> ,45.40,<0> ,29.4,<0> ,129.8,<0> ,9.0,<0> ,0.84,<0> ,"","","",<-1> ,"","",8.1,<0> ,3,<0> ,8.2,<0> ,
"wqbslwq   ","P",06/18/2020 17:45,0,1,"",25.3,<0> ,45.50,<0> ,29.5,<0> ,129.4,<0> ,9.0,<0> ,0.87,<0> ,"","","",<-1> ,"","",8.1,<0> ,3,<0> ,7.0,<0> ,
"wqbslwq   ","P",06/18/2020 18:00,0,1,"",25.2,<0> ,45.45,<0> ,29.4,<0> ,132.0,<0> ,9.2,<0> ,0.89,<0> ,"","","",<-1> ,"","",8.1,<0> ,2,<0> ,7.8,<0> ,
"wqbslwq   ","P",06/18/2020 18:15,0,1,"",25.1,<0> ,45.37,<0> ,29.4,<0> ,133.5,<0> ,9.3,<0> ,0.92,<0> ,"","","",<-1> ,"","",8.1,<0> ,3,<0> ,8.6,<0> ,
"wqbslwq   ","P",06/18/2020 18:30,0,1,"",25.0,<0> ,45.30,<0> ,29.3,<0> ,136.3,<0> ,9.5,<0> ,0.95,<0> ,"","","",<-1> ,"","",8.1,<0> ,3,<0> ,8.9,<0> ,
