"","X1","date","Variable","mean_daily","station"
"1",1,2007-04-25,"NO3F",0.11195,"grbgbnut"
"2",5,2007-05-14,"PO4F",0.0121,"grbgbnut"
"3",9,2007-08-29,"CHLA_N",3.8,"grbgbnut"
"4",13,2007-09-17,"PO4F",0.0299,"grbgbnut"
"5",17,2007-11-27,"NH4F",0.0482,"grbgbnut"
"6",21,2008-04-23,"PO4F",0.0055,"grbgbnut"
"7",25,2008-07-07,"NO3F",0.0255,"grbgbnut"
"8",29,2008-09-24,"PO4F",0.026,"grbgbnut"
"9",33,2009-04-29,"PO4F",0.016,"grbgbnut"
"10",37,2009-06-29,"NO23F",0.082,"grbgbnut"
"11",41,2009-09-24,"PO4F",0.048,"grbgbnut"
"12",45,2009-12-07,"NO23F",0.138,"grbgbnut"
"13",49,2010-04-22,"PO4F",0.014,"grbgbnut"
"14",53,2010-06-21,"PO4F",0.013,"grbgbnut"
"15",57,2010-10-27,"NH4F",0.028,"grbgbnut"
"16",61,2010-11-16,"NH4F",0.036,"grbgbnut"
"17",65,2011-04-26,"CHLA_N",7.79666666666667,"grbgbnut"
"18",69,2011-05-23,"PO4F",0.008,"grbgbnut"
"19",73,2011-07-18,"NO23F",0.0296666666666667,"grbgbnut"
"20",77,2011-10-24,"NO23F",0.129666666666667,"grbgbnut"
"21",81,2011-12-05,"NH4F",0.0603333333333333,"grbgbnut"
"22",85,2012-03-26,"PO4F",0.005,"grbgbnut"
"23",89,2012-07-23,"CHLA_N",2.86,"grbgbnut"
"24",93,2012-08-08,"PO4F",0.044,"grbgbnut"
"25",97,2012-10-24,"PO4F",0.027,"grbgbnut"
"26",101,2012-12-04,"NO23F",0.122,"grbgbnut"
"27",105,2013-05-22,"CHLA_N",5.07,"grbgbnut"
"28",109,2013-07-09,"NO23F",0.041,"grbgbnut"
"29",113,2013-09-10,"NO23F",0.014,"grbgbnut"
"30",117,2013-11-14,"NO23F",0.117,"grbgbnut"
"31",121,2013-12-10,"PO4F",0.025,"grbgbnut"
"32",125,2014-07-07,"PO4F",0.014,"grbgbnut"
"33",129,2014-11-13,"NH4F",0.041,"grbgbnut"
"34",133,2015-04-27,"NO23F",0.068,"grbgbnut"
"35",137,2015-07-07,"NH4F",0.01,"grbgbnut"
"36",141,2015-08-03,"NO23F",0.012,"grbgbnut"
"37",145,2015-11-17,"NO23F",0.083,"grbgbnut"
"38",149,2016-03-30,"NH4F",0.011,"grbgbnut"
"39",153,2016-05-09,"NH4F",0.041,"grbgbnut"
"40",157,2016-08-08,"NH4F",0.031,"grbgbnut"
"41",161,2016-10-04,"NO23F",0.025,"grbgbnut"
"42",165,2016-12-06,"NO23F",0.205,"grbgbnut"
"43",169,2017-07-11,"PO4F",0.012,"grbgbnut"
"44",173,2017-10-23,"PO4F",0.039,"grbgbnut"
"45",177,2017-11-08,"PO4F",0.029,"grbgbnut"
"46",181,2018-05-21,"PO4F",0.006,"grbgbnut"
"47",185,2018-08-14,"NO23F",0.086,"grbgbnut"
"48",189,2018-10-15,"NO23F",0.057,"grbgbnut"
"49",193,2019-04-23,"NH4F",0.116,"grbgbnut"
"50",197,2019-05-21,"PO4F",0.013,"grbgbnut"
"51",201,2019-12-04,"CHLA_N",1.53,"grbgbnut"
"52",205,2020-08-24,"CHLA_N",4.3,"grbgbnut"
"53",209,2020-11-02,"CHLA_N",1.7,"grbgbnut"
"54",213,2020-12-07,"NH4F",0.028,"grbgbnut"
"55",2170,2007-02-28,"NH4F",0.008,"nartsnut"
"56",2174,2007-03-27,"NO2F",0.001,"nartsnut"
"57",2178,2007-05-16,"NO2F",0.001,"nartsnut"
"58",2182,2007-07-11,"NH4F",0.005,"nartsnut"
"59",2186,2007-09-21,"NO3F",0.0035,"nartsnut"
"60",2190,2007-11-26,"NO3F",0.129,"nartsnut"
"61",2194,2008-05-29,"CHLA_N",1.53,"nartsnut"
"62",2198,2009-01-08,"CHLA_N",0.26,"nartsnut"
"63",2202,2010-07-12,"CHLA_N",3.03,"nartsnut"
"64",2206,2013-03-11,"CHLA_N",1.86,"nartsnut"
"65",2210,2013-09-05,"CHLA_N",5.67,"nartsnut"
"66",2214,2013-12-03,"NH4F",0.042,"nartsnut"
"67",2218,2014-04-09,"NH4F",0.024,"nartsnut"
"68",2222,2014-07-21,"CHLA_N",3.95,"nartsnut"
"69",2226,2014-08-18,"PO4F",0.026,"nartsnut"
"70",2230,2014-11-10,"NH4F",0.038,"nartsnut"
"71",2234,2015-01-05,"CHLA_N",0.86,"nartsnut"
"72",2238,2015-02-18,"NO23F",0.008,"nartsnut"
"73",2242,2015-04-27,"NH4F",0.011,"nartsnut"
"74",2246,2015-06-16,"CHLA_N",2.88,"nartsnut"
"75",2250,2015-07-13,"PO4F",0.019,"nartsnut"
"76",2254,2015-10-26,"CHLA_N",4.37,"nartsnut"
"77",2258,2015-12-07,"NO23F",0.0605,"nartsnut"
"78",2262,2016-02-17,"NH4F",0.014,"nartsnut"
"79",2266,2016-04-18,"NH4F",0.015,"nartsnut"
"80",2270,2016-07-18,"CHLA_N",5,"nartsnut"
"81",2274,2016-08-15,"PO4F",0.029,"nartsnut"
"82",2278,2016-11-14,"CHLA_N",2.86,"nartsnut"
"83",2282,2017-01-30,"CHLA_N",4.389674,"nartsnut"
"84",2286,2017-04-24,"CHLA_N",4.8931494,"nartsnut"
"85",2290,2017-07-03,"NH4F",0.007,"nartsnut"
"86",2294,2017-09-05,"NH4F",0.032,"nartsnut"
"87",2298,2017-11-28,"NO3F",0.1195,"nartsnut"
"88",2302,2018-01-29,"PO4F",0.006,"nartsnut"
"89",2306,2018-04-24,"PO4F",0.002,"nartsnut"
"90",2310,2018-07-12,"NH4F",0.007,"nartsnut"
"91",2314,2018-10-09,"NO3F",0.0765,"nartsnut"
"92",2318,2018-12-04,"NO3F",0.192,"nartsnut"
"93",2322,2019-01-15,"PO4F",0.0184,"nartsnut"
"94",2326,2019-05-14,"CHLA_N",1.54,"nartsnut"
"95",2330,2019-07-16,"PO4F",0.0105,"nartsnut"
"96",2334,2019-10-08,"NO23F",0.0263,"nartsnut"
"97",2460,2007-01-18,"NO23F",0.1593,"welinnut"
"98",2464,2007-01-19,"NO23F",0.159333333333333,"welinnut"
"99",2468,2007-02-12,"NO23F",0.1186,"welinnut"
"100",2472,2007-02-13,"NO23F",0.1211,"welinnut"
"101",2476,2007-03-15,"NO23F",0.116566666666667,"welinnut"
"102",2480,2007-03-16,"NO23F",0.1273,"welinnut"
"103",2484,2007-05-15,"PO4F",0.010375,"welinnut"
"104",2488,2007-07-11,"CHLA_N",1.56666666666667,"welinnut"
"105",2492,2007-07-12,"NH4F",0.20845,"welinnut"
"106",2496,2007-08-21,"PO4F",0.0123,"welinnut"
"107",2500,2007-09-18,"CHLA_N",1.1,"welinnut"
"108",2504,2007-09-19,"NH4F",0.0691,"welinnut"
"109",2508,2007-10-15,"NO23F",0.0181666666666667,"welinnut"
"110",2512,2007-10-16,"NO23F",0.0253,"welinnut"
"111",2516,2007-11-19,"NO23F",0.0998333333333333,"welinnut"
"112",2520,2007-11-20,"NO23F",0.08605,"welinnut"
"113",2524,2007-12-18,"NO23F",0.10565,"welinnut"
"114",2528,2007-12-19,"NO23F",0.1075,"welinnut"
"115",2532,2008-01-16,"NO23F",0.10945,"welinnut"
"116",2536,2008-01-17,"NO23F",0.138366666666667,"welinnut"
"117",2540,2008-02-12,"NO23F",0.11,"welinnut"
"118",2544,2008-02-13,"NO23F",0.11535,"welinnut"
"119",2548,2008-03-18,"NO23F",0.0024,"welinnut"
"120",2552,2008-03-19,"NO23F",0.0113,"welinnut"
"121",2556,2008-04-17,"CHLA_N",0.25,"welinnut"
"122",2560,2008-05-21,"NH4F",0.0264666666666667,"welinnut"
"123",2564,2008-05-22,"NH4F",0.01565,"welinnut"
"124",2568,2008-06-17,"NH4F",0.02095,"welinnut"
"125",2572,2008-06-18,"NO23F",0.0081,"welinnut"
