"","Variable","date","Value","station"
"1","CHLA_N","04/25/2007",4.375,"grbgbnut  "
"2","CHLA_N","05/14/2007",9.475,"grbgbnut  "
"3","CHLA_N","06/26/2007",6.275,"grbgbnut  "
"4","CHLA_N","07/25/2007",6.755,"grbgbnut  "
"5","CHLA_N","08/29/2007",3.81,"grbgbnut  "
"6","CHLA_N","09/17/2007",2.3,"grbgbnut  "
"7","CHLA_N","10/23/2007",4.785,"grbgbnut  "
"8","CHLA_N","11/27/2007",2.495,"grbgbnut  "
"9","NH4F","04/25/2007",0.1083,"grbgbnut  "
"10","NH4F","05/14/2007",0.01495,"grbgbnut  "
"11","NH4F","06/26/2007",0.00675,"grbgbnut  "
"12","NH4F","07/25/2007",0.01435,"grbgbnut  "
"13","NH4F","08/29/2007",0.20525,"grbgbnut  "
"14","NH4F","09/17/2007",0.09585,"grbgbnut  "
"15","NH4F","10/23/2007",0.1366,"grbgbnut  "
"16","NH4F","11/27/2007",0.0482,"grbgbnut  "
"17","NO23F","04/25/2007",0.1164,"grbgbnut  "
"18","NO23F","05/14/2007",0.11315,"grbgbnut  "
"19","NO23F","06/26/2007",0.005,"grbgbnut  "
"20","NO23F","07/25/2007",0.0152,"grbgbnut  "
"21","NO23F","08/29/2007",0.00735,"grbgbnut  "
"22","NO23F","09/17/2007",0.0265,"grbgbnut  "
"23","NO23F","10/23/2007",0.0432,"grbgbnut  "
"24","NO23F","11/27/2007",0.1575,"grbgbnut  "
"25","NO2F","04/25/2007",0.00445,"grbgbnut  "
"26","NO2F","05/14/2007",0.0035,"grbgbnut  "
"27","NO2F","06/26/2007",0.003,"grbgbnut  "
"28","NO2F","07/25/2007",0.0046,"grbgbnut  "
"29","NO2F","08/29/2007",0.003,"grbgbnut  "
"30","NO2F","09/17/2007",0.00405,"grbgbnut  "
"31","NO2F","10/23/2007",0.00345,"grbgbnut  "
"32","NO2F","11/27/2007",0.0073,"grbgbnut  "
"33","NO3F","04/25/2007",0.11195,"grbgbnut  "
"34","NO3F","07/25/2007",0.0106,"grbgbnut  "
"35","NO3F","11/27/2007",0.1502,"grbgbnut  "
"36","PO4F","04/25/2007",0.0106,"grbgbnut  "
"37","PO4F","05/14/2007",0.01055,"grbgbnut  "
"38","PO4F","06/26/2007",0.0164,"grbgbnut  "
"39","PO4F","07/25/2007",0.01675,"grbgbnut  "
"40","PO4F","08/29/2007",0.032,"grbgbnut  "
"41","PO4F","09/17/2007",0.0293,"grbgbnut  "
"42","PO4F","10/23/2007",0.02005,"grbgbnut  "
"43","PO4F","11/27/2007",0.01885,"grbgbnut  "
"44","CHLA_N","04/23/2008",3.675,"grbgbnut  "
"45","CHLA_N","05/08/2008",2.125,"grbgbnut  "
"46","CHLA_N","06/11/2008",5.43,"grbgbnut  "
"47","CHLA_N","07/07/2008",6.4,"grbgbnut  "
"48","CHLA_N","08/28/2008",8.735,"grbgbnut  "
"49","CHLA_N","09/24/2008",3.605,"grbgbnut  "
"50","CHLA_N","10/20/2008",1.63,"grbgbnut  "
"51","NH4F","04/23/2008",0.0245,"grbgbnut  "
"52","NH4F","05/08/2008",0.0825,"grbgbnut  "
"53","NH4F","06/11/2008",0.1715,"grbgbnut  "
