"","date","Variable","mean_daily","station"
"1",2007-04-25,"NO3F",0.11195,"grbgbnut  "
"2",2007-04-25,"PO4F",0.0106,"grbgbnut  "
"3",2007-05-14,"NH4F",0.02,"grbgbnut  "
"4",2007-05-14,"NO23F",0.11315,"grbgbnut  "
"5",2007-05-14,"PO4F",0.0121,"grbgbnut  "
"6",2007-06-26,"CHLA_N",6.28,"grbgbnut  "
"7",2007-07-25,"NO3F",0.0106,"grbgbnut  "
"8",2007-07-25,"PO4F",0.01675,"grbgbnut  "
"9",2007-08-29,"CHLA_N",3.8,"grbgbnut  "
"10",2007-08-29,"NH4F",0.1765,"grbgbnut  "
"11",2007-08-29,"PO4F",0.0271,"grbgbnut  "
"12",2007-09-17,"NO3F",0.0219,"grbgbnut  "
"13",2007-09-17,"PO4F",0.0299,"grbgbnut  "
"14",2007-10-23,"NH4F",0.1347,"grbgbnut  "
"15",2007-10-23,"NO23F",0.0432,"grbgbnut  "
"16",2007-10-23,"PO4F",0.0163,"grbgbnut  "
"17",2007-11-27,"NH4F",0.0482,"grbgbnut  "
"18",2007-11-27,"NO23F",0.1575,"grbgbnut  "
"19",2008-04-23,"NH4F",0.025,"grbgbnut  "
"20",2008-04-23,"NO23F",0.058,"grbgbnut  "
"21",2008-04-23,"PO4F",0.0055,"grbgbnut  "
"22",2008-05-08,"NH4F",0.0825,"grbgbnut  "
"23",2008-05-08,"NO23F",0.08,"grbgbnut  "
"24",2008-06-11,"CHLA_N",4.93,"grbgbnut  "
"25",2008-07-07,"NO3F",0.0255,"grbgbnut  "
"26",2008-08-28,"NO3F",0.0455,"grbgbnut  "
"27",2008-08-28,"PO4F",0.0258,"grbgbnut  "
"28",2008-09-24,"NO3F",0.094,"grbgbnut  "
"29",2008-09-24,"PO4F",0.026,"grbgbnut  "
"30",2008-10-20,"NO3F",0.118,"grbgbnut  "
"31",2008-10-20,"PO4F",0.01585,"grbgbnut  "
"32",2009-04-29,"NO23F",0.061,"grbgbnut  "
"33",2009-04-29,"PO4F",0.016,"grbgbnut  "
"34",2009-05-26,"NH4F",0.033,"grbgbnut  "
"35",2009-05-26,"PO4F",0.016,"grbgbnut  "
"36",2009-06-29,"NH4F",0.073,"grbgbnut  "
"37",2009-06-29,"NO23F",0.082,"grbgbnut  "
"38",2009-06-29,"PO4F",0.018,"grbgbnut  "
"39",2009-07-29,"NO23F",0.065,"grbgbnut  "
"40",2009-08-26,"NH4F",0.046,"grbgbnut  "
"41",2009-09-24,"PO4F",0.048,"grbgbnut  "
"42",2009-10-22,"NO23F",0.054,"grbgbnut  "
"43",2009-11-19,"NH4F",0.063,"grbgbnut  "
"44",2009-12-07,"NH4F",0.049,"grbgbnut  "
"45",2009-12-07,"NO23F",0.138,"grbgbnut  "
"46",2009-12-07,"PO4F",0.022,"grbgbnut  "
"47",2010-04-22,"NH4F",0.035,"grbgbnut  "
"48",2010-04-22,"NO23F",0.109,"grbgbnut  "
"49",2010-04-22,"PO4F",0.014,"grbgbnut  "
"50",2010-05-27,"CHLA_N",12.16,"grbgbnut  "
"51",2010-05-27,"NO23F",0.024,"grbgbnut  "
"52",2010-05-27,"PO4F",0.01,"grbgbnut  "
