"","station","Variable","date","mean_daily"
"1","grbgbwq","chla_n","2007-04-25",4.375
"2","grbgbwq","chla_n","2007-05-14",9.475
"3","grbgbwq","chla_n","2007-06-26",6.275
"4","grbgbwq","chla_n","2007-07-25",6.755
"5","grbgbwq","chla_n","2007-08-29",3.81
"6","grbgbwq","chla_n","2007-09-17",2.3
"7","grbgbwq","chla_n","2007-10-23",4.785
"8","grbgbwq","chla_n","2007-11-27",2.495
"9","grbgbwq","chla_n","2008-04-23",3.675
"10","grbgbwq","chla_n","2008-05-08",2.125
"11","grbgbwq","chla_n","2008-06-11",5.43
"12","grbgbwq","chla_n","2008-07-07",6.4
"13","grbgbwq","chla_n","2008-08-28",8.735
"14","grbgbwq","chla_n","2008-09-24",3.605
"15","grbgbwq","chla_n","2008-10-20",1.63
"16","grbgbwq","chla_n","2008-11-25",NA
"17","grbgbwq","chla_n","2009-04-29",NA
"18","grbgbwq","chla_n","2009-05-26",NA
"19","grbgbwq","chla_n","2009-06-29",NA
"20","grbgbwq","chla_n","2009-07-29",NA
"21","grbgbwq","chla_n","2009-08-26",NA
"22","grbgbwq","chla_n","2009-09-24",NA
"23","grbgbwq","chla_n","2009-10-22",NA
"24","grbgbwq","chla_n","2009-11-19",NA
"25","grbgbwq","chla_n","2009-12-07",NA
"26","grbgbwq","chla_n","2010-04-22",NA
"27","grbgbwq","chla_n","2010-05-27",9.97666666666667
"28","grbgbwq","chla_n","2010-06-21",NA
"29","grbgbwq","chla_n","2010-07-27",NA
"30","grbgbwq","chla_n","2010-08-30",NA
"31","grbgbwq","chla_n","2010-09-29",NA
"32","grbgbwq","chla_n","2010-10-27",2.77333333333333
"33","grbgbwq","chla_n","2010-11-16",3.93
"34","grbgbwq","chla_n","2010-12-09",NA
"35","grbgbwq","chla_n","2011-04-26",7.21
"36","grbgbwq","chla_n","2011-05-23",1.83
"37","grbgbwq","chla_n","2011-06-07",2.66
"38","grbgbwq","chla_n","2011-07-18",5.28
"39","grbgbwq","chla_n","2011-08-22",4.69
"40","grbgbwq","chla_n","2011-09-26",NA
"41","grbgbwq","chla_n","2011-10-24",1.96
"42","grbgbwq","chla_n","2011-11-07",2.01
"43","grbgbwq","chla_n","2011-12-05",0.9
"44","grbgbwq","chla_n","2012-03-26",10.61
"45","grbgbwq","chla_n","2012-04-17",1.83
"46","grbgbwq","chla_n","2012-05-30",4.07
"47","grbgbwq","chla_n","2012-06-25",8.38
"48","grbgbwq","chla_n","2012-07-23",2.88
"49","grbgbwq","chla_n","2012-08-08",1.9
"50","grbgbwq","chla_n","2012-09-24",2.44
"51","grbgbwq","chla_n","2012-10-24",1.55333333333333
